title,Departments,keywords
The Severed Relationship Between Black/Africana Studies and Black Communities,Africana Studies,"black studies, black community"
Education Movements in the South: Choice Education in the 20th and 21st century,Africana Studies,"freedmen, black, african american"
‘Tewo Zamani’—Sickness of this Generation: The Feminization of HIV/AIDS in Sub-Saharan Africa,Africana Studies,"HIV/AIDS, Africa, women, gender roles"
"Mass Incarceration: An Analysis of the Intersectionality of Oppressions and Its Effect on the African American Female during the War on Drugs, 1985-1991",Africana Studies,"mass incarceration, African American, African American female, War on Drugs, Anti-Drug Abuse Act, black feminist theory"
"The New Niggers: A Historical and Contemporary Exploration of the Use of the ""N-Word"" in the African-American Community",Africana Studies,"nigger, nigga, the n word, racism, African-American, epithet, racial slur, ethnolinguistics, hip-hop, comedy"
Gallery of a Colored Girl:  How Black and White Perceptions of the Black Female Body Affect the Ways Millennial African American Women Perform Race and Gender On and Off Stage,Africana Studies,"performance art, african american women, performance theory, the gaze, millennials"
"The Impact of Neoliberalism on Urban Schools in Cities with Black Mayors: Cases in Newark, New Jersey and Washington, D.C.",Africana Studies; History,"urban schools, black politians, new black politics, urban politics, third wave black politicians"
The “Right” Model for Educating Ghanaian Girls: Emerging Themes and Messages from Ghanaian NGO Websites,Africana Studies; Sociology and Anthropology,"NGO, Ghana, Africa, education, Afroncentricity, content analysis, girls, post-colonial"
"Oppositional Looking: A Critical Interrogation of The White Female Gaze in ""Orange is the New Black""",Africana Studies; Sociology and Anthropology,"Orange is the New Black, race, gender, White Female Gaze, African-American"
"Determining Site Usage of the Orange Township Earthworks in Highbanks Metropark, Delaware, Ohio: Chert and Lithic Analysis",Archaeology,"archaeology, chert, orange township earthworks"
Reflections of Foreign Influence and Social Class in Cypriot Art During the Hellenistic and Roman Periods,Archaeology,"Archaeology, Cyprus, Cypriot, Roman, Greek, Limestone, Sculpture, Hellenistic"
Confronting Archaeology's Political Nature: An Evaluation of Archaeology as a Tool of Social Action in the Post Conflict Societies of Spain and the Former Yugoslavia,Archaeology,"archaeology, forensics, Spain, former Yugoslavia, social action, reconciliation"
